"","operatingunit","countryname","snu1","snu1uid","psnu","psnuuid","fy16snuprioritization","tx_ret_denom","tx_ret_num","tx_ret_pct","tx_new","ou","ea_districts","national_sub_sub_unit","cbcts_lnkg_exp","cbcts_rtnadhr_exp","fbcts_loaded_tot"
"152","Cameroon","Cameroon","Littoral","MTRiZG58YEx","Nkondjock","oCGhqAOirsv","5 - Centrally Supported",0,0,,0,"Cameroon","Littoral","Nkondjock",0,0,0
"153","Cameroon","Cameroon","Littoral","MTRiZG58YEx","Nkongsamba","A0XPpQxn05b","4 - Sustained",361,212,0.587,414,"Cameroon","Littoral","Nkongsamba",0,0,166600.26481
"154","Cameroon","Cameroon","Littoral","MTRiZG58YEx","Nylon","AW764lDxjdr","4 - Sustained",1295,915,0.707,1167,"Cameroon","Littoral","Nylon",,,167121.77543
"155","Cameroon","Cameroon","Littoral","MTRiZG58YEx","Pouma","AFX0djkDX6A","4 - Sustained",106,46,0.434,154,"Cameroon","Littoral","Pouma",0,0,17146.593181
"156","Cameroon","Cameroon","Littoral","MTRiZG58YEx","Yabassi","GvTDrgjcU6R","4 - Sustained",19,16,0.842,23,"Cameroon","Littoral","Yabassi",0,0,17216.479205
"157","Cameroon","Cameroon","Nord Ouest","HxXMyMSODnm","Ako","s6P7NGophWH","5 - Centrally Supported",0,0,,0,"Cameroon","Nord Ouest","Ako",668,209,0
"158","Cameroon","Cameroon","Nord Ouest","HxXMyMSODnm","Bafut","RDEsqpDdyjC","4 - Sustained",189,124,0.656,162,"Cameroon","Nord Ouest","Bafut",0,0,26243.659909
"159","Cameroon","Cameroon","Nord Ouest","HxXMyMSODnm","Bali","pl3EDv60GZ4","4 - Sustained",149,107,0.718,106,"Cameroon","Nord Ouest","Bali",0,0,24260.569078
"160","Cameroon","Cameroon","Nord Ouest","HxXMyMSODnm","Bamenda","cMnkG8Hxa71","4 - Sustained",1898,1467,0.773,1870,"Cameroon","Nord Ouest","Bamenda",,,276607.8198
"161","Cameroon","Cameroon","Nord Ouest","HxXMyMSODnm","Batibo","rucXXEqjQcK","4 - Sustained",141,87,0.617,187,"Cameroon","Nord Ouest","Batibo",0,0,35553.128832
"162","Cameroon","Cameroon","Nord Ouest","HxXMyMSODnm","Benakuma","W4MLzWKSvB1","5 - Centrally Supported",0,0,,0,"Cameroon","Nord Ouest","Benakuma",0,0,0
"163","Cameroon","Cameroon","Nord Ouest","HxXMyMSODnm","Fundong","cDNpDbvmp5K","4 - Sustained",599,430,0.718,812,"Cameroon","Nord Ouest","Fundong",0,0,68437.868898
"164","Cameroon","Cameroon","Nord Ouest","HxXMyMSODnm","Kumbo East","VAN2Ql7Bkro","4 - Sustained",333,272,0.817,353,"Cameroon","Nord Ouest","Kumbo East",0,0,59355.928877
"165","Cameroon","Cameroon","Nord Ouest","HxXMyMSODnm","Kumbo West","cLBRoC6icGa","4 - Sustained",486,307,0.632,532,"Cameroon","Nord Ouest","Kumbo West",0,0,64513.359404
"166","Cameroon","Cameroon","Nord Ouest","HxXMyMSODnm","Mbengwi","hvNtuMClAXW","4 - Sustained",133,108,0.812,112,"Cameroon","Nord Ouest","Mbengwi",0,2198,35819.632883
"167","Cameroon","Cameroon","Nord Ouest","HxXMyMSODnm","Ndop","SeVI9bJFCIZ","4 - Sustained",536,404,0.754,577,"Cameroon","Nord Ouest","Ndop",0,0,52885.359186
"168","Cameroon","Cameroon","Nord Ouest","HxXMyMSODnm","Ndu","AbJXFBhkc4U","4 - Sustained",44,43,0.977,451,"Cameroon","Nord Ouest","Ndu",0,0,36670.947331
"169","Cameroon","Cameroon","Nord Ouest","HxXMyMSODnm","Njikwa","HSEc0Cyu0Yy","5 - Centrally Supported",0,0,,0,"Cameroon","Nord Ouest","Njikwa",0,0,0
"170","Cameroon","Cameroon","Nord Ouest","HxXMyMSODnm","Nkambe","cbmIcLlVVa1","4 - Sustained",513,276,0.538,471,"Cameroon","Nord Ouest","Nkambe",0,836,42112.050306
"171","Cameroon","Cameroon","Nord Ouest","HxXMyMSODnm","Nwa","o3cdCYbmdmR","5 - Centrally Supported",0,0,,0,"Cameroon","Nord Ouest","Nwa",0,0,0
"172","Cameroon","Cameroon","Nord Ouest","HxXMyMSODnm","Oku","s9CiFUWGXnP","5 - Centrally Supported",0,0,,0,"Cameroon","Nord Ouest","Oku",0,0,0
"173","Cameroon","Cameroon","Nord Ouest","HxXMyMSODnm","Santa","js5vRAkkqxB","5 - Centrally Supported",0,0,,0,"Cameroon","Nord Ouest","Santa",2807,0,0
"174","Cameroon","Cameroon","Nord Ouest","HxXMyMSODnm","Tubah","zipfC1pWf1y","5 - Centrally Supported",0,0,,0,"Cameroon","Nord Ouest","Tubah",0,0,0
"175","Cameroon","Cameroon","Nord Ouest","HxXMyMSODnm","Wum","VaHOXJU4rir","4 - Sustained",284,178,0.627,376,"Cameroon","Nord Ouest","Wum",0,0,46337.561784
"176","Cameroon","Cameroon","Sud Ouest","Jm3YTCERxvX","Akwaya","DoVAXL8t556","5 - Centrally Supported",0,0,,0,"Cameroon","Sud Ouest","Akwaya",0,0,0
"177","Cameroon","Cameroon","Sud Ouest","Jm3YTCERxvX","Bakassi","JIQXtxy5dWB","5 - Centrally Supported",0,0,,0,"Cameroon","Sud Ouest","Bakassi",488,5009,0
"178","Cameroon","Cameroon","Sud Ouest","Jm3YTCERxvX","Bangem","St9lVTJrRaI","4 - Sustained",40,27,0.675,40,"Cameroon","Sud Ouest","Bangem",0,0,13080.073653
"179","Cameroon","Cameroon","Sud Ouest","Jm3YTCERxvX","Buea","dkNG0muACjc","4 - Sustained",383,264,0.689,681,"Cameroon","Sud Ouest","Buea",0,0,32626.252606
"180","Cameroon","Cameroon","Sud Ouest","Jm3YTCERxvX","Ekondo Titi","PtCkWF9WUyM","4 - Sustained",318,178,0.56,232,"Cameroon","Sud Ouest","Ekondo Titi",0,0,15815.604177
"181","Cameroon","Cameroon","Sud Ouest","Jm3YTCERxvX","Eyumodjock","dyB1QMpgHgC","5 - Centrally Supported",0,0,,0,"Cameroon","Sud Ouest","Eyumodjock",0,0,0
"182","Cameroon","Cameroon","Sud Ouest","Jm3YTCERxvX","Fontem","a2nQs7VmYiD","4 - Sustained",65,44,0.677,60,"Cameroon","Sud Ouest","Fontem",0,0,14094.912103
"183","Cameroon","Cameroon","Sud Ouest","Jm3YTCERxvX","Konye","w0khtlIwl6Q","5 - Centrally Supported",0,0,,0,"Cameroon","Sud Ouest","Konye",0,0,0
"184","Cameroon","Cameroon","Sud Ouest","Jm3YTCERxvX","Kumba","MIvAFWhI9Yc","4 - Sustained",1241,733,0.591,1475,"Cameroon","Sud Ouest","Kumba",0,836,59696.030152
"185","Cameroon","Cameroon","Sud Ouest","Jm3YTCERxvX","Limbe","GP5qeoiXMtA","4 - Sustained",650,451,0.694,664,"Cameroon","Sud Ouest","Limbe",0,0,172285.01469
"186","Cameroon","Cameroon","Sud Ouest","Jm3YTCERxvX","Mamfe","zU7eKPwFr69","4 - Sustained",235,197,0.838,336,"Cameroon","Sud Ouest","Mamfe",0,0,32507.096387
"187","Cameroon","Cameroon","Sud Ouest","Jm3YTCERxvX","Mbonge","oHNRJzfPFaX","5 - Centrally Supported",0,0,,0,"Cameroon","Sud Ouest","Mbonge",0,0,0
"188","Cameroon","Cameroon","Sud Ouest","Jm3YTCERxvX","Mundemba","GzuQHLu6ZTN","6 - Sustained: Commodities",0,0,,0,"Cameroon","Sud Ouest","Mundemba",0,0,0
"189","Cameroon","Cameroon","Sud Ouest","Jm3YTCERxvX","Muyuka","jIXZlNwSdG3","4 - Sustained",390,142,0.364,478,"Cameroon","Sud Ouest","Muyuka",0,0,24934.263277
"190","Cameroon","Cameroon","Sud Ouest","Jm3YTCERxvX","Nguti","JIcgSOsSpSV","4 - Sustained",0,0,,0,"Cameroon","Sud Ouest","Nguti",0,0,0
"191","Cameroon","Cameroon","Sud Ouest","Jm3YTCERxvX","Tiko","VZPPWeDuJqU","4 - Sustained",1100,725,0.659,1328,"Cameroon","Sud Ouest","Tiko",0,0,91928.484091
"192","Cameroon","Cameroon","Sud Ouest","Jm3YTCERxvX","Tombel","vqaBeYFtUn0","4 - Sustained",128,89,0.695,134,"Cameroon","Sud Ouest","Tombel",0,0,17805.632394
"193","Cameroon","Cameroon","Sud Ouest","Jm3YTCERxvX","Wabane","DWF1ThXXPOB","5 - Centrally Supported",0,0,,0,"Cameroon","Sud Ouest","Wabane",0,0,1296.02448
"194","Caribbean Region","Bahamas","Bahamas","stClxHNn4NP","Bahamas","stClxHNn4NP","4 - Sustained",0,0,,0,"Bahamas","BahamasNational","National",0,0,1908.2746025
"195","Caribbean Region","Barbados","Barbados","RKoVudgb05Y","Barbados","RKoVudgb05Y","4 - Sustained",0,0,,103,"Barbados","BarbadosNational","National",0,0,18558.266821
"196","Caribbean Region","Guyana","Guyana","PeOHqAwdtez","Region 4- Demerara-Mahaica","GLVB2ljVQ8N","1 - Scale-Up: Saturation",287,240,0.836,315,"Guyana","Region 4- Demerara-Mahaica","Region 4- Demerara-Mahaica",6500,20024,362504.58713
"197","Caribbean Region","Jamaica","Jamaica","WuxG6jzaypt","Jamaica","WuxG6jzaypt","2 - Scale-Up: Aggressive",0,0,,1334,"Jamaica","JamaicaNational","National",0,0,692456.65891
"198","Caribbean Region","Suriname","Suriname","zhJINyURZ5Y","Suriname","zhJINyURZ5Y","2 - Scale-Up: Aggressive",0,0,,0,"Suriname","SurinameNational","National",0,0,72709.3674
"199","Caribbean Region","Trinidad & Tobago","Trinidad & Tobago","WSl5y9jxCpC","Trinidad & Tobago","WSl5y9jxCpC","2 - Scale-Up: Aggressive",0,0,,0,"TrinidadandTobago","TrinidadandTobagoNational","National",0,0,63362.140027
"200","Central America Region","Belize","Belize","kthHsxU5iZw","Belize District","cnScuM7LsCx","1 - Scale-Up: Saturation",0,0,,128,"Belize","BelizeBelize District","Belize District",1628,8141,114427.2361
"201","Central America Region","Belize","Belize","kthHsxU5iZw","Cayo District","xhGTltuT6Yy",,0,0,,0,"Belize","BelizeCayo","Cayo",0,0,3262
"202","Central America Region","Belize","Belize","kthHsxU5iZw","Corozal District","GXEx43FvOhx",,0,0,,0,"Belize","BelizeCorozal","Corozal",0,0,3892
"203","Central America Region","Belize","Belize","kthHsxU5iZw","Orange Walk District","xScElOj3oni",,0,0,,0,"Belize","BelizeOrange Walk","Orange Walk",0,0,1937
"204","Central America Region","Belize","Belize","kthHsxU5iZw","Stann Creek District","y3jDZX9FvIS",,0,0,,0,"Belize","BelizeStann Creek","Stann Creek",0,0,3145
"205","Central America Region","Belize","Belize","kthHsxU5iZw","Toledo District","ZgqxntcONNO",,0,0,,0,"Belize","BelizeToledo","Toledo",0,0,2118
"206","Central America Region","Costa Rica","Costa Rica","QKD4CzBG2GM","Alajuela","D6WUHdpPajP",,0,0,,0,"CostaRica","CostaRicaAlajuela","Alajuela",0,0,0
"207","Central America Region","Costa Rica","Costa Rica","QKD4CzBG2GM","Puntarenas","bCiBEzaJENQ",,0,0,,0,"CostaRica","CostaRicaPuntarenas","Puntarenas",188,941,728
"208","Central America Region","Costa Rica","Costa Rica","QKD4CzBG2GM","San José","x3YPzC51dwW",,0,0,,0,"CostaRica","CostaRicaSan Jos<e9>","San Jos<e9>",3182,15913,107810
"209","Central America Region","El Salvador","El Salvador","N7QAPGSaODP","Ahuachapán","kVFGsGA9hQa",,0,0,,0,"ElSalvador","ElSalvadorAhuachap<e1>n","Ahuachap<e1>n",0,0,0
"210","Central America Region","El Salvador","El Salvador","N7QAPGSaODP","Cabañas","mbbwqCmq8mP",,0,0,,0,"ElSalvador","ElSalvadorCaba<f1>as","Caba<f1>as",0,0,0
"211","Central America Region","El Salvador","El Salvador","N7QAPGSaODP","Chalatenango","IdBKTEYPQEh",,0,0,,0,"ElSalvador","ElSalvadorChalatenango","Chalatenango",0,0,0
"212","Central America Region","El Salvador","El Salvador","N7QAPGSaODP","Cuscatlán","sbEUTnRr0eM",,0,0,,0,"ElSalvador","ElSalvadorCuscatl<e1>n","Cuscatl<e1>n",0,0,0
"213","Central America Region","El Salvador","El Salvador","N7QAPGSaODP","La Libertad","XGpHeef5gpD",,0,0,,5,"ElSalvador","ElSalvadorLa Libertad","La Libertad",55,275,0
"214","Central America Region","El Salvador","El Salvador","N7QAPGSaODP","La Paz","UAmR614rZ9d",,0,0,,0,"ElSalvador","ElSalvadorLa Paz","La Paz",15,74,0
"215","Central America Region","El Salvador","El Salvador","N7QAPGSaODP","La Unión","A35GCIWAOhd",,0,0,,0,"ElSalvador","ElSalvadorLa Uni<f3>n","La Uni<f3>n",30,151,0
"216","Central America Region","El Salvador","El Salvador","N7QAPGSaODP","Morazán","jaTticxkcqx",,0,0,,0,"ElSalvador","ElSalvadorMoraz<e1>n","Moraz<e1>n",0,0,0
"217","Central America Region","El Salvador","El Salvador","N7QAPGSaODP","San Miguel","DlfavooTJxR",,0,0,,0,"ElSalvador","ElSalvadorSan Miguel","San Miguel",33,163,16118.8
"218","Central America Region","El Salvador","El Salvador","N7QAPGSaODP","San Salvador","mRwKGISoETW","1 - Scale-Up: Saturation",0,0,,233,"ElSalvador","ElSalvadorSan Salvador","San Salvador",9590,36988,347662.43694
"219","Central America Region","El Salvador","El Salvador","N7QAPGSaODP","San Vicente","cuycTsjKjJV",,0,0,,0,"ElSalvador","ElSalvadorSan Vicente","San Vicente",10,49,0
"220","Central America Region","El Salvador","El Salvador","N7QAPGSaODP","Santa Ana","YVFk4zDWcOL",,0,0,,0,"ElSalvador","ElSalvadorSanta Ana","Santa Ana",82,411,20860.97376
"221","Central America Region","El Salvador","El Salvador","N7QAPGSaODP","Sonsonate","sJXLM3yvj6s",,0,0,,0,"ElSalvador","ElSalvadorSonsonate","Sonsonate",21,107,0
"222","Central America Region","El Salvador","El Salvador","N7QAPGSaODP","Usulután","CCDn2DvZ32N",,0,0,,0,"ElSalvador","ElSalvadorUsulut<e1>n","Usulut<e1>n",25,123,0
"223","Central America Region","Guatemala","Guatemala","EXVC4bNtv84","Escuintla","ZE1dC5koMyy","1 - Scale-Up: Saturation",0,0,,159,"Guatemala","GuatemalaEscuintla","Escuintla",3703,12087,63480.623602
"224","Central America Region","Guatemala","Guatemala","EXVC4bNtv84","Guatemala","OrdO9LqYGEU","1 - Scale-Up: Saturation",0,0,,930,"Guatemala","GuatemalaGuatemala District","Guatemala District",14723,51568,587877.55536
"225","Central America Region","Guatemala","Guatemala","EXVC4bNtv84","Huehuetenango","BB8DkOSCW4l",,0,0,,0,"Guatemala","GuatemalaHuehuetenango","Huehuetenango",0,0,0
"226","Central America Region","Guatemala","Guatemala","EXVC4bNtv84","Izabal","jjX2tlYIDMS","1 - Scale-Up: Saturation",0,0,,78,"Guatemala","GuatemalaIzabal","Izabal",3889,13016,43858.944
"227","Central America Region","Guatemala","Guatemala","EXVC4bNtv84","Petén","BS8ILOhpjgh",,0,0,,0,"Guatemala","GuatemalaPet<e9>n","Pet<e9>n",0,0,0
"228","Central America Region","Guatemala","Guatemala","EXVC4bNtv84","Quetzaltenango","XlknxeZCJhu","1 - Scale-Up: Saturation",0,0,,351,"Guatemala","GuatemalaQuetzaltenango","Quetzaltenango",5434,14309,98601.305574
"229","Central America Region","Guatemala","Guatemala","EXVC4bNtv84","Retalhuleu","wln4Q3L4Jtm",,0,0,,0,"Guatemala","GuatemalaRetalhuleu","Retalhuleu",91,456,45400.632
"230","Central America Region","Guatemala","Guatemala","EXVC4bNtv84","Sacatepéquez","zsRIu3wF9zs",,0,0,,0,"Guatemala","GuatemalaSacatep<e9>quez","Sacatep<e9>quez",0,0,0
"231","Central America Region","Guatemala","Guatemala","EXVC4bNtv84","San Marcos","zvuoTbaNtrF","1 - Scale-Up: Saturation",0,0,,79,"Guatemala","GuatemalaSan Marcos","San Marcos",1325,6629,42738.099154
"232","Central America Region","Guatemala","Guatemala","EXVC4bNtv84","Santa Rosa","miZDnX67Fbz",,0,0,,0,"Guatemala","GuatemalaSanta Rosa","Santa Rosa",0,0,0
"233","Central America Region","Guatemala","Guatemala","EXVC4bNtv84","Zacapa","WxwJFVFHbG8",,0,0,,0,"Guatemala","GuatemalaZacapa","Zacapa",63,314,0
"234","Central America Region","Honduras","Honduras","w5NMe34EjPN","Atlántida","XcfnCyWRPTX","1 - Scale-Up: Saturation",0,0,,30,"Honduras","HondurasAtl<e1>ntida","Atl<e1>ntida",3984,0,71803.865302
"235","Central America Region","Honduras","Honduras","w5NMe34EjPN","Cortés","KAJhTpoQcgY","1 - Scale-Up: Saturation",0,0,,70,"Honduras","HondurasCort<e9>s","Cort<e9>s",,0,89964.601261
"236","Central America Region","Honduras","Honduras","w5NMe34EjPN","Francisco Morazán","ZhWf9vUWlIQ","1 - Scale-Up: Saturation",0,0,,26,"Honduras","HondurasFrancisco Moraz<e1>n","Francisco Moraz<e1>n",,9644,167684.94204
"237","Central America Region","Honduras","Honduras","w5NMe34EjPN","Islas de la Bahía","SCluT0vxry5",,0,0,,0,"Honduras","HondurasIslas de la Bah<ed>a","Islas de la Bah<ed>a",0,0,0
"238","Central America Region","Nicaragua","Nicaragua","aUTsSmqqu9O","Atlántico Norte","sGOsK5LEJAm",,0,0,,0,"Nicaragua","NicaraguaRegi<f3>n Aut<f3>noma del Atl<e1>ntico Norte","Regi<f3>n Aut<f3>noma del Atl<e1>ntico Norte",0,0,0
"239","Central America Region","Nicaragua","Nicaragua","aUTsSmqqu9O","Atlántico Sur","aFnKtXHACbs",,0,0,,1,"Nicaragua","NicaraguaRegi<f3>n Aut<f3>noma del Atl<e1>ntico Sur","Regi<f3>n Aut<f3>noma del Atl<e1>ntico Sur",0,0,0
"240","Central America Region","Nicaragua","Nicaragua","aUTsSmqqu9O","Chinandega","wRBw2JNPLPK",,0,0,,104,"Nicaragua","NicaraguaChinandega Department","Chinandega Department",0,0,0
"241","Central America Region","Nicaragua","Nicaragua","aUTsSmqqu9O","Chontales","b756RNgwxgu",,0,0,,1,"Nicaragua","NicaraguaChontales Department","Chontales Department",0,0,0
"242","Central America Region","Nicaragua","Nicaragua","aUTsSmqqu9O","León","zxKIIVD2VqW",,0,0,,19,"Nicaragua","NicaraguaLe<f3>n Department","Le<f3>n Department",0,0,0
"243","Central America Region","Nicaragua","Nicaragua","aUTsSmqqu9O","Managua","E9hpBWG1gJY","1 - Scale-Up: Saturation",0,0,,519,"Nicaragua","NicaraguaManagua Department","Managua Department",0,0,119260.786
"244","Central America Region","Panama","Panama","oK0gC85xx2f","Bocas del Toro","IGRWppOdGnd",,0,0,,1,"Panama","PanamaBocas del Toro","Bocas del Toro",64,319,295
"245","Central America Region","Panama","Panama","oK0gC85xx2f","Chiriquí","KpcgUONQMtc",,0,0,,0,"Panama","PanamaChiriqu<ed>","Chiriqu<ed>",39,193,7012.5
"246","Central America Region","Panama","Panama","oK0gC85xx2f","Coclé","xbPUZoXAoyF",,0,0,,0,"Panama","PanamaCocl<e9>","Cocl<e9>",33,164,0
"247","Central America Region","Panama","Panama","oK0gC85xx2f","Colón","oBxDZtu08GH","1 - Scale-Up: Saturation",0,0,,131,"Panama","PanamaCol<f3>n","Col<f3>n",2590,5714,58721.404153
"248","Central America Region","Panama","Panama","oK0gC85xx2f","Herrera","yxbat75jxce",,0,0,,0,"Panama","PanamaHerrera","Herrera",0,0,0
"249","Central America Region","Panama","Panama","oK0gC85xx2f","Los Santos","NHfGpkhlLAV",,0,0,,0,"Panama","PanamaLos Santos","Los Santos",0,0,0
"250","Central America Region","Panama","Panama","oK0gC85xx2f","Panamá","ePZmJr5EpxI","1 - Scale-Up: Saturation",0,0,,931,"Panama","PanamaPanam<e1>","Panam<e1>",12143,46241,495171.59804
"251","Central America Region","Panama","Panama","oK0gC85xx2f","Panamá Oeste","kSG6uxhyCNl",,0,0,,45,"Panama","PanamaPanam<e1> Oeste","Panam<e1> Oeste",0,0,15732.5
"252","Central America Region","Panama","Panama","oK0gC85xx2f","Veraguas","m8pmtIrQgX0",,0,0,,0,"Panama","PanamaVeraguas","Veraguas",107,536,0
"253","Central Asia Region","Kazakhstan","Kazakhstan","xVvOdyoS7wi","Eastern-Kazakhstan Oblast","c7w0pI9yo6A","1 - Scale-Up: Saturation",215,161,0.749,347,"Kazakhstan","KazakhstanEast Kazakhstan","East Kazakhstan",28960,28962,69686.52319
"254","Central Asia Region","Kazakhstan","Kazakhstan","xVvOdyoS7wi","Karaganda Oblast","UUkzQMuUHco","6 - Sustained: Commodities",0,0,,0,"Kazakhstan","KazakhstanKaragandy","Karagandy",0,0,0
"255","Central Asia Region","Kazakhstan","Kazakhstan","xVvOdyoS7wi","Pavlodar Oblast","xELDpBDTXO7","1 - Scale-Up: Saturation",82,62,0.756,86,"Kazakhstan","KazakhstanPavlodar","Pavlodar",28479,18567,71890.435816
"256","Central Asia Region","Kazakhstan","Kazakhstan","xVvOdyoS7wi","Western-Kazakhstan Oblast","j98NVMiOHmp","6 - Sustained: Commodities",0,0,,0,"Kazakhstan","KazakhstanWest Kazakhstan","West Kazakhstan",0,0,0
"257","Central Asia Region","Kyrgyzstan","Kyrgyzstan","vm58KTm9wvy","Bishkek","Jy91UHo35rl","1 - Scale-Up: Saturation",88,73,0.83,109,"Kyrgyzstan","KyrgyzstanBishkek","Bishkek",40258,40259,54119.609938
"258","Central Asia Region","Kyrgyzstan","Kyrgyzstan","vm58KTm9wvy","Chui Oblast","fy8hntNu4XW","6 - Sustained: Commodities",87,73,0.839,97,"Kyrgyzstan","KyrgyzstanChuy Province","Chuy Province",71646,71646,54852.450268
"259","Central Asia Region","Kyrgyzstan","Kyrgyzstan","vm58KTm9wvy","Jalalabad Oblast","VMJjIXb4quQ","6 - Sustained: Commodities",0,0,,0,"Kyrgyzstan","KyrgyzstanJalal-Abad Province","Jalal-Abad Province",0,0,0
"260","Central Asia Region","Kyrgyzstan","Kyrgyzstan","vm58KTm9wvy","Osh","JKLQ1sXDGUC","1 - Scale-Up: Saturation",34,26,0.765,104,"Kyrgyzstan","KyrgyzstanOsh","Osh",0,0,58840.972327
"261","Central Asia Region","Kyrgyzstan","Kyrgyzstan","vm58KTm9wvy","Osh Oblast","CYTuJgNPHsJ","1 - Scale-Up: Saturation",38,26,0.684,32,"Kyrgyzstan","KyrgyzstanOsh Province","Osh Province",12023,12023,59534.452315
"262","Central Asia Region","Tajikistan","Tajikistan","ZtoVYbNCnsj","Districts of Republican Subordination","yj7bCMh2usG","6 - Sustained: Commodities",43,36,0.837,43,"Tajikistan","TajikistanDistricts of Republican Subordination","Districts of Republican Subordination",0,0,48389.710221
"263","Central Asia Region","Tajikistan","Tajikistan","ZtoVYbNCnsj","Dushanbe","YPV5uwJ9Z1G","1 - Scale-Up: Saturation",216,206,0.954,146,"Tajikistan","TajikistanDushanbe","Dushanbe",25992,26557,47881.459369
"264","Central Asia Region","Tajikistan","Tajikistan","ZtoVYbNCnsj","GBAO","u3XjeRYuZFP","6 - Sustained: Commodities",0,0,,0,"Tajikistan","TajikistanGorno-Badakhshan Autonomous Province","Gorno-Badakhshan Autonomous Province",0,0,0
"265","Central Asia Region","Tajikistan","Tajikistan","ZtoVYbNCnsj","Khatlon Oblast","xcyOmlkzehn","6 - Sustained: Commodities",0,0,,0,"Tajikistan","TajikistanKhatlon Province","Khatlon Province",26256,28016,0
"266","Central Asia Region","Tajikistan","Tajikistan","ZtoVYbNCnsj","Sughd Oblast","uXqGfBx5A67","1 - Scale-Up: Saturation",162,154,0.951,153,"Tajikistan","TajikistanSughd Province","Sughd Province",19237,19663,58221.278143
"267","Cote d'Ivoire","Cote d'Ivoire","_Military Cote d'Ivoire","Ycl4U8e7gy2","_Military Cote d'Ivoire","Ycl4U8e7gy2",,0,0,,0,"CotedIvoire","_Military Cote d'Ivoire","_Military Cote d'Ivoire",0,0,0
"268","Cote d'Ivoire","Cote d'Ivoire","Abidjan 1-Grands Ponts","ouvLM5iBp2U","Adjame-Plateau-Attecoube","srjx8SafsPP","2 - Scale-Up: Aggressive",963,779,0.809,1517,"CotedIvoire","Adjame-Plateau-Attecoube","Adjame-Plateau-Attecoube",11224,40250,498984.1651
"269","Cote d'Ivoire","Cote d'Ivoire","Abidjan 1-Grands Ponts","ouvLM5iBp2U","Dabou","lD9LV6eBHfQ","1 - Scale-Up: Saturation",408,293,0.718,582,"CotedIvoire","Dabou","Dabou",,,180014.41838
"270","Cote d'Ivoire","Cote d'Ivoire","Abidjan 1-Grands Ponts","ouvLM5iBp2U","Grand-Lahou","lWBnsQf68dS","4 - Sustained",100,82,0.82,191,"CotedIvoire","Grand-Lahou","Grand-Lahou",251,4021,53382.407938
"271","Cote d'Ivoire","Cote d'Ivoire","Abidjan 1-Grands Ponts","ouvLM5iBp2U","Jacqueville","CRixH2BASvF","4 - Sustained",42,36,0.857,96,"CotedIvoire","Jacqueville","Jacqueville",118,1884,25558.942757
"272","Cote d'Ivoire","Cote d'Ivoire","Abidjan 1-Grands Ponts","ouvLM5iBp2U","Yopougon-Est","FWBih8friTu","1 - Scale-Up: Saturation",735,504,0.686,1405,"CotedIvoire","Yopougon Est","Yopougon Est",9612,12341,620566.55025
"273","Cote d'Ivoire","Cote d'Ivoire","Abidjan 1-Grands Ponts","ouvLM5iBp2U","Yopougon-Ouest-Songon","ejiEtWEM5cz","1 - Scale-Up: Saturation",1488,1101,0.74,2628,"CotedIvoire","Yopougon Ouest Songon","Yopougon Ouest Songon",1697,1935,2251737.6644
"274","Cote d'Ivoire","Cote d'Ivoire","Abidjan 2","VmeP98Y7Ob0","Abobo-Est","m4hsNX3VTKP","1 - Scale-Up: Saturation",1218,981,0.805,1836,"CotedIvoire","Abobo Est","Abobo Est",11986,22557,893127.56128
"275","Cote d'Ivoire","Cote d'Ivoire","Abidjan 2","VmeP98Y7Ob0","Abobo-Ouest","z3MzML1mYwh","1 - Scale-Up: Saturation",1104,903,0.818,2002,"CotedIvoire","Abobo-Ouest","Abobo-Ouest",5402,9495,263121.23398
